,Area
0,Ameerpet
1,Begumpet
2,SR Nagar
3,Prakash Nagar
4,Punjagutta
5,Balkampet
6,Sanathnagar
7,Bharat Nagar
8,Erragadda
9,Borabanda
10,Moti Nagar
11,Khairtabad
12,Somajiguda
13,Raj Bhavan Road
14,Lakdikapool
15,Saifabad
16,A.C. Guards
17,Masab Tank
18,Chintal Basti
19,Musheerabad
20,Chikkadpally
21,Himayatnagar
22,Ashok Nagar
23,Domalguda
24,Hyderguda
25,Ramnagar
26,Azamabad
27,Adikmet
28,Nallakunta
29,Shanker Mutt
30,RTC X Roads
31,Gandhi Nagar
32,Bagh Lingampally
33,Vidyanagar
34,Amberpet
35,Tilaknagar
36,Golnaka
37,Barkatpura
38,Shivam Road
39,Jamia Osmania
40,Kachiguda
41,Badichowdi
42,Nampally
43,Abids
44,Aghapura
45,Koti
46,Bank Street
47,Boggulkunta
48,Secunderabad
49,Chilkalguda
50,Kavadiguda
51,MG Road (James Street)
52,Madannapet
53,Minister Road
54,Mylargadda
55,Namalagundu
56,Padmarao Nagar
57,Pan bazar
58,Parsigutta
59,Patny
60,Rani Gunj
61,RP Road
62,Sindhi Colony
63,Sitaphalmandi
64,Tarnaka
65,Warsiguda
66,Addagutta
67,Tukaramgate
68,Secunderabad Cantonment
69,Bowenpally
70,Karkhana
71,Marredpally
72,Sikh Village
73,Trimulgherry
74,Vikrampuri
75,Gachibowli
76,Raidurg
77,Khajaguda
78,Manikonda
79,Nanakramguda
80,Kokapet
81,Shaikpet Hyderabad
82,HITEC City
83,Madhapur
84,Kondapur
85,Jubilee Hills
86,Banjara Hills
87,Film Nagar
88,Yousufguda
89,Srinagar colony
90,Serilingampally
91,Chanda Nagar
92,Allwyn Colony
93,Hafeezpet
94,Madinaguda
95,Miyapur
96,Kukatpally
97,Allwyn Colony
98,Bachupally
99,KPHB
100,Nizampet
101,Pragathi Nagar
102,Moosapet
103,Mallampet
104,Patancheru
105,BHEL Township
106,RC Puram
107,Ameenpur
108,Beeramguda
109,Kistareddypet
110,IDA Bollaram
111,"Medical Devices Park, Hyderabad"
112,Balanagar
113,Fateh Nagar
114,Ferozguda
115,Old Bowenpally
116,Hasmathpet
117,Quthbullapur
118,Jeedimetla
119,Jagadgirigutta
120,Suraram
121,Pet Basheerabad
122,Kompally
123,Medchal
124,Kandlakoya
125,Alwal
126,Lothkunta
127,Old Alwal
128,Macha Bollaram
129,Venkatapuram
130,Shamirpet
131,Malkajgiri
132,Anandbagh
133,Ammuguda
134,Gautham Nagar
135,Kakatiya Nagar
136,Vinayak Nagar
137,Moula-Ali
138,Neredmet
139,Old Neredmet
140,Safilguda
141,Sainikpuri
142,Yapral
143,Kapra
144,A. S. Rao Nagar
145,ECIL 'X' Roads
146,Kamala Nagar
147,Kushaiguda
148,Cherlapally
149,Keesara
150,Nagaram
151,Dammaiguda
152,Jawaharnagar
153,Rampally
154,Cheriyal
155,Uppal
156,Habsiguda
157,Ramanthapur
158,Boduppal
159,Nagole
160,Nacharam
161,Mallapur
162,Ghatkesar
163,Peerzadiguda
164,Chengicherla
165,Pocharam
166,Narapally
167,Medipally
168,Dilsukhnagar
169,Kothapet
170,Gaddiannaram
171,Moosarambagh
172,L. B. Nagar
173,Bairamalguda
174,Chintalakunta
175,Vanasthalipuram
176,Hastinapuram
177,Saroornagar
178,Badangpet
179,Balapur
180,Champapet
181,Jillelguda
182,Karmanghat
183,Lingojiguda
184,Meerpet
185,Sanghi Nagar
186,Santoshnagar
187,Hayathnagar
188,Ibrahim patnam
189,Mehdipatnam
190,Toli chowki
191,Gudimalkapur
192,Asif Nagar
193,Langar Houz
194,Laxminagar Colony
195,Mallepally
196,Padmanabha Nagar Colony
197,Red Hills
198,Rajendranagar
199,Attapur
200,Bandlaguda
201,Gandipet
202,Kismatpur
203,Narsingi
204,Puppalguda
205,Shamshabad
206,Rajiv Gandhi International Airport
207,Umdanagar
